timestamp,chapter,percent,color,quote,note
"December 11, 2020 21:43",7 augusti,60.8%,#DFC,"Var tyst! Hon älskar en annan. Det här är hans sak, inte min. 

– ",Schizofreni? Pratar med spegeln? Den nämndes ju förut...
"December 11, 2020 21:42",7 augusti,60.4%,#FFB,eklatant
"December 11, 2020 21:39",7 augusti,60.0%,#DFC,"Och moral kommer av ”mores”, seder; den vilar helt och hållet på seden, bruket; den har ingen annan grund",Han skrev ju tidigare om diktare och modet att det ändras fort och att det som en gång va fel kan va helt rätt nu
"December 11, 2020 21:38",7 augusti,59.6%,#FFB,bevänt
"December 11, 2020 21:38",7 augusti,59.6%,#FFB,urskillning
"December 11, 2020 21:35",7 augusti,59.2%,#DFC,Moralen det är andras åsikter om det rätta
"December 11, 2020 21:35",7 augusti,59.2%,#DFC,"Moralen, det är den berömda kritcirkeln kring hönan: den binder den som tror på den"
"December 11, 2020 21:35",7 augusti,59.2%,#FFB,divergensen
"December 11, 2020 21:35",7 augusti,59.2%,#FFB,modus vivendi
"December 11, 2020 21:35",7 augusti,58.8%,#DFC,"Lagen är löjlig, kort sagt, och ingen anständig människa låter sitt handlingssätt bestämmas av den"
"December 11, 2020 21:33",7 augusti,58.8%,#DFC,"Jag går i skogen; jag hör nödrop; jag springer efter skriket och finner en man i begrepp att våldföra en kvinna. Jag gör naturligtvis vad jag kan för att befria henne, och om det blir nödvändigt, dödar jag mannen."
"December 11, 2020 21:31",7 augusti,58.0%,#DFC,som hans gud en gång för alla har givit honom lov att tillfredsställa med just denna kvinna
"December 11, 2020 21:31",7 augusti,58.0%,#FFE0EC,Hur var det: jag sökte ju en gärning
"December 11, 2020 21:30",7 augusti,57.6%,#DFC,"Allt ger honom rätt mot henne: världen, gud, hans eget samvete"
"December 11, 2020 21:28",7 augusti,57.1%,#DFC,hon är inte hjälpt med mindre än att hon blir fri.
"December 11, 2020 21:27",7 augusti,56.7%,#FFB,spleen
"December 11, 2020 21:27",7 augusti,56.7%,#FFB,rosengnista
"December 11, 2020 21:26",7 augusti,56.3%,#FFB,merendels
"December 11, 2020 21:24",7 augusti,55.9%,#FFB," någon luktar redan som levande, måste man döda honom"
"December 11, 2020 21:22",7 augusti,55.5%,#DFC,"Att han måste dö, emedan han redan luktade lik, och att det var min plikt som läkare att göra"
"December 11, 2020 21:22",7 augusti,55.5%,#FFB,flor.
"December 11, 2020 06:49",3 augusti,53.9%,#DFC,och svarta skuggor. Vi talade filosofi. Med mina sjutton år trodde jag knappt på Gud; men
"December 11, 2020 06:45",3 augusti,53.1%,#DFC,månen. Där är den igen.,Symbol för dysterhet. Han pratade om månen ett annat kapitel. Poesi mycket i boken. 
"December 11, 2020 06:42",2 augusti,52.7%,#DFC,Man famnar en skugga och man älskar en dröm
"December 10, 2020 22:18",24 juli,47.8%,#FFB,grannlagenhet
"December 10, 2020 22:15",24 juli,46.9%,#FFB,sub specie æternitatis
"December 10, 2020 22:12",24 juli,46.1%,#DFC,"Alla dessa astronomiska tecken, som den fattigaste bonde för två hundra år sedan förstod på ett ungefär och som han studerade med iver och flit, då",Jämf om något som en gång va viktigt men som idag är fånigt. Typ religion enl Söderberg 
"December 10, 2020 22:08",17 juli,44.9%,#DFC,"I stället svarade jag henne med plikten, som jag inte trodde på."
"December 10, 2020 22:07",17 juli,44.5%,#FFB,kontrahenterna
"December 10, 2020 22:04",17 juli,44.1%,#DFC,"min plikt” – gör den nu, som jag gjorde den då.",Han pratar tidigare om att han år för självmordshjälp
"December 10, 2020 22:02",17 juli,43.7%,#FFB,atenienn
"December 09, 2020 22:21",14 juli,42.9%,#FFB,honorar
"December 09, 2020 22:20",14 juli,42.4%,#FFE0EC,det var nyss; nu är det mörkt
"December 09, 2020 22:20",14 juli,42.4%,#FFB,tvagen
"December 09, 2020 22:19",13 juli,42.0%,#DFC,"annan. 

I min första ungdom led jag mycket av att jag icke var vacker"
"December 07, 2020 21:02",10 juli,40.8%,#DFC,rätten att dö blir erkänd som en långt viktigare och mera oförytterlig människorätt än den att lägga en sedel i valurnan
"December 07, 2020 21:02",10 juli,40.8%,#FFB,schavott
"December 07, 2020 21:02",10 juli,40.4%,#DFC, skulle jag göra mig till martyr för
"December 07, 2020 21:02",10 juli,40.8%,#DFC,"uppfattning, som förr eller senare blir alla civiliserade människors, men som i dag ännu är brottslig"
"December 07, 2020 20:38",9 juli,38.0%,#DFC,Svårare var det att förlåta honom alla de gånger han gav mig stryk rättvist
"December 07, 2020 20:37",9 juli,37.1%,#DFC,"Finns det ett lif efter detta? Af theol. dr H. Cremer. Pris 50 öre. 

John Bunyans uppenbarelser. En framställning af det kommande lifvet, himlens härlighet och helvetets fasor. Pris 75 öre. 

Människans egna kraft. Rätta vägen till utmärkelse och rikedom af S. Smiles. Pris 3:50, eleg. inb. i klotb. med guldsnitt 4:25."
"December 04, 2020 21:48",9 juli,36.7%,#DFC,", varför går prästen alltid in i kyrkan genom en bakport"
"December 04, 2020 21:48",9 juli,36.7%,#DFC,flicka i lintyget tassar fram till ett fönster och rullar ner gardinen.,Fru Gregorius?
"December 04, 2020 21:46",7 juli,36.3%,#FFE0EC,from och blå
"December 04, 2020 21:42",7 juli,36.3%,#FFE0EC,statsråd,Refererar tillbaka till alla ärelystna vill bli stadsråd
"December 04, 2020 21:42",7 juli,36.3%,#FFB,strävpelare
"December 04, 2020 21:42",7 juli,36.3%,#DFC,Jag undrar hur det kan vara att ha ett brott att ångra.,"Tänker på att begå brott. Kopplat till drömmen om mordet. Kopplar till de här andra grejerna han just nämner. Han är just nu medbrottsling i otrohet, åtminstone moraliskt brått. "
"December 04, 2020 21:40",6 juli på morgonen,34.7%,#DFC,6 juli på morgonen,Viktigt
"December 04, 2020 14:25",5 juli,29.8%,#DFC,juli,"Hur kopplar detta till resten?

Något om upplevelser, tolkning, helhet. Filosofiskt.

Eller bara att Söderberg vill va lite svår?

Det pratas ju om att ny konst är svår att förstå. Tänker mig att det år kopplat till att många saker doktorn tänker är väldigt nytänkande, som att föreslå skilsmässa, progressiv liksom"
"December 04, 2020 14:25",6 juli på morgonen,34.7%,#DFC,"Andersen och hans saga om skuggan, och det tycks mig att jag själv är skuggan som ville bli människa"
"December 04, 2020 14:23",5 juli,34.3%,#DFC,"Jag har inga egna ögon. Jag kan ju inte ens se på supen och rädisorna på bordet därborta med mina egna ögon, jag ser på dem med Strindbergs och tänker på en sexa på Stallmästargården som han åt i sin ungdom"
"December 04, 2020 14:22",5 juli,33.9%,#FFB,"Vad de yngsta bland dem producera förstår jag mig visserligen inte på – inte ännu! – men jag vet och förutser, att om de bara en dag bli erkända och berömda, kommer också jag att förstå och beundra dem. Det"
"December 04, 2020 14:17",5 juli,32.7%,#FFB,arkadisk ängd
"December 04, 2020 14:15",5 juli,32.2%,#FFB,försumlighet
"December 04, 2020 14:14",5 juli,31.8%,#FFB,corpus delicti
"December 04, 2020 14:14",5 juli,31.8%,#FFB,boddonjuan
"December 04, 2020 14:11",5 juli,31.0%,#FFB,täck
"December 04, 2020 14:11",5 juli,31.0%,#FFB,ogunst
"December 04, 2020 14:11",5 juli,31.0%,#DFC,smorde kråset
"December 04, 2020 14:11",5 juli,31.0%,#FFB,pappenheimare
"December 04, 2020 14:10",5 juli,30.6%,#FFB,Chablis
"December 04, 2020 14:10",5 juli,30.6%,#FFB,ensittarens
"December 04, 2020 14:08",5 juli,30.2%,#FFB,mariga
"December 04, 2020 14:08",5 juli,30.2%,#DFC,"När jag hör människor berömma skärgårdens vackra natur misstänker jag alltid att de ha helt andra saker i tankarna, och vid närmare undersökning visar det sig nästan alltid att misstanken bekräftas. Den ena tänker på den friska luften och de sköna baden, den andra på sin segelbåt och den tredje på abborrarna, och allt detta går för dem under rubriken vacker natur"
"December 04, 2020 14:05",5 juli,29.8%,#FFB,ångslup
"December 04, 2020 13:54",5 juli,29.8%,#FFB,badsejour
"December 04, 2020 13:53",2 juli,29.4%,#FFB,digitalis
"December 04, 2020 13:52",2 juli,29.0%,#FFB,hämnar
"December 04, 2020 13:51",2 juli,29.0%,#FFB,vivör
"December 04, 2020 13:47",2 juli,28.2%,#DFC,Jag tror att det har sina speciella skäl att krångla i dag!
"December 04, 2020 13:46",2 juli,27.8%,#FFB,charlatan
"December 04, 2020 13:43",2 juli,26.5%,#DFC,"Omöjligt att avgöra, om han är mera får än räv"
"December 04, 2020 13:40",2 juli,26.1%,#FFB,pittoreskt
"December 04, 2020 13:40",2 juli,26.1%,#FFB,ricinolja
"December 04, 2020 13:29",2 juli,25.7%,#FFB,velocipedtävlan
"December 04, 2020 13:28",2 juli,25.3%,#FFB,rockskörten
"December 04, 2020 13:27",2 juli,24.9%,#FFB,förnam
"December 04, 2020 13:21",2 juli,23.7%,#DFC,Jungfru Sammetskind
"December 04, 2020 13:20",2 juli,23.3%,#DFC,"stället dödade han så småningom min tro. Det är det enda jag kan tacka honom för, ty jag längtar icke tillbaka till den"
"December 04, 2020 13:18",2 juli,22.9%,#DFC,"tror jag. Jag gick in i mitt rum och grät. Det var alltid något hos honom som bjöd mig emot på ett särskilt sätt, och jag tror att det just var detta som gjorde att jag till sist bestämde mig för att säga ja. Ingen"
"December 04, 2020 13:18",2 juli,22.9%,#DFC,Men jag trodde att det var Guds vilja
"December 04, 2020 13:18",2 juli,22.9%,#DFC,"Guds vilja alltid var det, som allra mest bjöd vår egen vilja emot"
"December 04, 2020 13:11",2 juli,21.2%,#FFB,sinnlighet
"December 04, 2020 13:11",2 juli,21.2%,#DFC,Blodet sjöng i mina öron
"December 03, 2020 22:25",2 juli,20.8%,#DFC,"Jag var naturligtvis aldrig kär i honom, aldrig det"
"December 03, 2020 22:16",28 juni,18.8%,#FFB,jämmerdalen
"December 03, 2020 22:11",28 juni,17.6%,#DFC,"Han är lycklig, och honom avundas jag"
"December 03, 2020 22:07",28 juni,17.1%,#FFB,bevänt
"December 03, 2020 22:07",28 juni,17.1%,#FFB,konsuler
"December 03, 2020 22:05",28 juni,16.7%,#FFB,eljest
"November 30, 2020 07:08",19 juni,7.3%,#FFE0EC,Som det står i visan.
"November 30, 2020 07:05",15 juni,6.1%,#FFB,grossess
"November 30, 2020 07:05",15 juni,6.1%,#FFB,barnsbörd
"November 30, 2020 07:03",15 juni,5.7%,#FFB,trollguldet
"November 30, 2020 07:02",15 juni,5.3%,#FFE0EC,Jag såg ett äkta par i kväll på min aftonpromenad
"November 30, 2020 07:01",14 juni,4.9%,#DFC," är bara rädd att jag läser upp mitt pliktformulär så ofta, att jag till sist tror på det själv"
"November 30, 2020 06:56",14 juni,3.7%,#FFE0EC,": min plikt som läkare, och aktningen för människoliv, också det spädaste"
"November 30, 2020 06:54",14 juni,3.7%,#FFB,kommo slag i slag
"November 30, 2020 06:54",14 juni,3.7%,#FFB,utanläxan
"November 30, 2020 06:47",12 juni,2.5%,#FFB,gittat,"Synonymer till gitta
 
idas, ha lust, orka, bry sig om, förmå, bekväma sig till, bekväma sig, ha lust till"
"November 30, 2020 06:42",12 juni,1.6%,#FFB,gemena,"adj.
elak, simpel, lumpen, nedrig, tarvlig, taskig, usel, lågsinnad, perfid, illvillig, lömsk, ondsint, infam, skändlig, skurkaktig
vanlig, allmän; gemene man folk i allmänhet
gemena (bokstäver) små bokstäver
"
"November 30, 2020 06:40",12 juni,1.2%,#FFB,götiska
"November 30, 2020 06:40",12 juni,1.2%,#FFB,vämjelse,"äckel, illamående, avsky, motvilja, olust, avsmak
"
